Pavement,Location,Test,Time (sec),Time(min),IR (mm/min),IR (in/min)
PICP,1,1,70,1.17,52.8,2.08
PICP,2,1,58,0.97,63.72,2.51
PICP,3,1,33.4,0.56,110.66,4.36
Asphalt,1,1,27.08,0.45,136.48,5.37
Asphalt,2,1,18.43,0.31,200.54,7.9
Asphalt,3,1,30.28,0.5,122.06,4.81
Concrete,1,1,39.43,0.66,93.74,3.69
Concrete,2,1,17.22,0.29,214.63,8.45
Concrete,3,1,9.2,0.15,401.74,15.82
PICP,1,2,69.24,1.15,53.38,2.1
PICP,2,2,70.43,1.17,52.48,2.07
PICP,3,2,27.48,0.46,134.5,5.3
Asphalt,1,2,21.88,0.36,168.92,6.65
Asphalt,2,2,18.93,0.32,195.25,7.69
Asphalt,3,2,23.6,0.39,156.61,6.17
Concrete,1,2,29.6,0.49,124.86,4.92
Concrete,2,2,15.01,0.25,246.24,9.69
Concrete,3,2,9.48,0.16,389.87,15.35
PICP,1,3,69.38,1.16,53.27,2.1
PICP,2,3,83.69,1.39,44.16,1.74
PICP,3,3,28.78,0.48,128.42,5.06
Asphalt,1,3,24.43,0.41,151.29,5.96
Asphalt,2,3,19.1,0.32,193.51,7.62
Asphalt,3,3,27.41,0.46,134.84,5.31
Concrete,1,3,28.75,0.48,128.56,5.06
Concrete,2,3,16.4,0.27,225.37,8.87
Concrete,3,3,7.75,0.13,476.9,18.78
PICP,1,4,61.81,1.03,59.8,2.35
PICP,2,4,78.92,1.32,46.83,1.84
PICP,3,4,29.93,0.5,123.49,4.86
Asphalt,1,4,23.82,0.4,155.16,6.11
Asphalt,2,4,17.82,0.3,207.41,8.17
Asphalt,3,4,26.6,0.44,138.95,5.47
Concrete,1,4,34.84,0.58,106.08,4.18
Concrete,2,4,15.75,0.26,234.67,9.24
Concrete,3,4,8.66,0.14,426.79,16.8
PICP,1,5,79.17,1.32,46.68,1.84
PICP,2,5,110.75,1.85,33.37,1.31
PICP,3,5,29.08,0.48,127.1,5
Asphalt,1,5,22.71,0.38,162.75,6.41
Asphalt,2,5,19.73,0.33,187.33,7.38
Asphalt,3,5,26.53,0.44,139.31,5.48
Concrete,1,5,40.57,0.68,91.1,3.59
Concrete,2,5,15.98,0.27,231.29,9.11
Concrete,3,5,8.65,0.14,427.28,16.82
PICP,1,6,66.71,1.11,55.4,2.18
PICP,2,6,79.91,1.33,46.25,1.82
PICP,3,6,30.44,0.51,121.42,4.78
Asphalt,1,6,24.39,0.41,151.54,5.97
Asphalt,2,6,20.38,0.34,181.35,7.14
Asphalt,3,6,27.67,0.46,133.57,5.26
Concrete,1,6,34.31,0.57,107.72,4.24
Concrete,2,6,16.35,0.27,226.06,8.9
Concrete,3,6,9.7,0.16,381.03,15
PICP,1,7,86.96,1.45,42.5,1.67
PICP,2,7,85.32,1.42,43.32,1.71
PICP,3,7,38.06,0.63,97.11,3.82
Asphalt,1,7,25.48,0.42,145.05,5.71
Asphalt,2,7,20.68,0.34,178.72,7.04
Asphalt,3,7,28.06,0.47,131.72,5.19
Concrete,1,7,42.11,0.7,87.77,3.46
Concrete,2,7,17.63,0.29,209.64,8.25
Concrete,3,7,9.64,0.16,383.4,15.09
